iter	Passed	Remaining
234	21517	161609
235	21610	161528
236	21702	161439
237	21789	161315
238	21879	161211
239	21975	161150
240	22015	160683
241	22101	160555
242	22189	160441
243	22285	160385
244	22379	160308
245	22475	160252
246	22567	160164
247	22658	160070
248	22751	159992
249	22842	159895
250	22933	159801
251	23026	159726
252	23119	159640
253	23213	159572
254	23307	159499
255	23401	159421
256	23491	159321
257	23583	159235
258	23675	159144
259	23764	159040
260	23856	158954
261	23947	158858
262	24035	158745
263	24128	158660
264	24220	158574
265	24311	158482
266	24402	158384
267	24489	158269
268	24580	158172
269	24675	158106
270	24767	158020
271	24859	157927
272	24952	157852
273	25046	157772
274	25134	157661
275	25227	157580
276	25317	157482
277	25407	157379
278	25497	157280
279	25589	157194
280	25679	157092
281	25771	157003
282	25864	156925
283	25956	156834
284	26050	156759
285	26137	156642
286	26229	156557
287	26328	156505
288	26422	156433
289	26518	156365
290	26611	156284
291	26701	156185
292	26792	156089
293	26889	156034
294	26981	155942
295	27072	155851
296	27163	155756
297	27258	155681
298	27350	155595
299	27446	155532
300	27537	155437
301	27632	155364
302	27729	155301
303	27825	155237
304	27918	155151
305	28026	155154
306	28146	155216
307	28269	155300
308	28373	155271
309	28472	155219
310	28570	155163
311	28667	155097
312	28767	155047
313	28873	155035
314	28974	154988
315	29071	154923
316	29169	154865
317	29266	154800
318	29362	154727
319	29464	154686
320	29570	154670
321	29666	154597
322	29766	154548
323	29865	154488
324	29963	154428
325	30062	154368
326	30161	154311
327	30263	154270
328	30362	154213
329	30466	154180
330	30563	154112
331	30663	154055
332	30763	154000
333	30863	153947
334	30962	153887
335	31059	153819
336	31156	153746
337	31254	153683
338	31350	153609
339	31447	153536
340	31543	153461
341	31636	153371
342	31735	153310
343	31831	153235
344	31930	153172
345	32025	153094
346	32125	153033
347	32223	152969
348	32316	152876
349	32414	152813
350	32518	152772
351	32616	152704
352	32714	152636
353	32814	152576
354	32909	152495
355	33002	152405
356	33100	152338
357	33200	152276
358	33294	152189
359	33388	152101
360	33483	152019
361	33577	151934
362	33679	151882
363	33780	151828
364	33878	151755
365	33973	151675
366	34076	151624
367	34175	151560
368	34276	151502
369	34372	151424
370	34465	151333
371	34561	151254
372	34656	151170
373	34752	151087
374	34847	151007
375	34946	150939
376	35046	150874
377	35143	150800
378	35242	150731
379	35342	150669
380	35439	150594
381	35540	150533
382	35636	150454
383	35736	150392
384	35834	150318
385	35930	150236
386	36029	150168
387	36127	150094
388	36225	150023
389	36321	149942
390	36417	149862
391	36511	149773
392	36616	149728
393	36713	149648
394	36809	149568
395	36907	149492
396	37008	149432
397	37106	149356
398	37202	149274
399	37295	149183
400	37394	149110
401	37492	149038
402	37590	148961
403	37689	148891
404	37784	148806
405	37884	148739
406	37981	148658
407	38074	148566
408	38174	148497
409	38271	148418
410	38366	148330
411	38460	148241
412	38554	148151
413	38652	148074
414	38747	147989
415	38850	147930
416	38948	147853
417	39042	147763
418	39136	147673
419	39234	147597
420	39326	147496
421	39424	147419
422	39522	147344
423	39622	147275
424	39718	147190
425	39821	147135
426	39921	147064
427	40025	147009
428	40129	146955
429	40231	146891
430	40336	146838
431	40445	146803
432	40542	146720
433	40645	146661
434	40745	146591
435	40845	146519
436	40947	146455
437	41043	146369
438	41140	146289
439	41235	146199
440	41330	146110
441	41426	146024
442	41526	145952
443	41621	145864
444	41715	145771
445	41815	145696
446	41914	145623
447	42015	145552
448	42109	145459
449	42204	145371
450	42300	145285
451	42395	145195
452	42495	145122
453	42593	145044
454	42691	144964
455	42789	144883
456	42885	144798
457	42982	144714
458	43078	144625
459	43173	144538
460	43267	144443
461	43363	144357
462	43463	144284
463	43559	144196
464	43661	144129
465	43757	144043
466	43855	143963
467	43957	143894
468	44054	143812
469	44147	143715
470	44245	143632
471	44342	143550
472	44441	143472
473	44539	143390
474	44635	143303
475	44729	143208
476	44824	143117
477	44922	143037
478	45019	142953
479	45116	142867
480	45214	142786
481	45312	142707
482	45410	142625
483	45509	142547
484	45603	142452
485	45702	142372
486	45802	142296
487	45897	142207
488	45991	142112
489	46084	142016
490	46179	141923
491	46273	141829
492	46372	141750
493	46471	141673
494	46573	141603
495	46668	141512
496	46762	141417
497	46860	141333
498	46955	141243
499	47053	141159
500	47148	141070
501	47243	140977
502	47341	140894
503	47440	140816
504	47543	140748
505	47642	140668
506	47740	140584
507	47837	140499
508	47936	140420
509	48033	140333
510	48133	140254
511	48227	140162
512	48321	140067
513	48420	139986
514	48518	139904
515	48620	139830
516	48718	139746
517	48813	139654
518	48907	139561
519	49006	139480
520	49100	139384
521	49198	139301
522	49315	139270
523	49404	139161
524	49500	139071
525	49599	138990
526	49694	138900
527	49795	138824
528	49888	138725
529	49985	138639
530	50080	138547
531	50180	138468
532	50279	138387
533	50379	138308
534	50476	138219
535	50569	138123
536	50660	138019
537	50765	137953
538	50861	137864
539	50955	137767
540	51051	137679
541	51149	137593
542	51244	137500
543	51339	137409
544	51436	137320
545	51535	137238
546	51634	137155
547	51735	137081
548	51828	136981
549	51922	136885
550	52021	136805
551	52116	136710
552	52210	136614
553	52308	136530
554	52401	136433
555	52499	136346
556	52597	136263
557	52697	136183
558	52796	136100
559	52895	136017
560	52994	135933
561	53094	135852
562	53191	135765
563	53287	135675
564	53384	135587
565	53486	135511
566	53584	135425
567	53682	135339
568	53777	135246
569	53876	135163
570	53969	135065
571	54066	134977
572	54160	134881
573	54260	134799
574	54358	134714
575	54461	134640
576	54555	134545
577	54655	134464
578	54752	134375
579	54847	134281
580	54945	134195
581	55039	134100
582	55138	134017
583	55238	133933
584	55337	133850
585	55432	133756
586	55529	133669
587	55627	133582
588	55724	133492
589	55818	133397
590	55917	133312
591	56009	133211
592	56100	133109
593	56192	133007
594	56292	132926
595	56386	132830
596	56483	132741
597	56578	132647
598	56674	132555
599	56771	132466
600	56869	132379
601	56972	132304
602	57068	132213
603	57164	132121
604	57259	132028
605	57354	131933
606	57450	131841
607	57542	131741
608	57641	131658
609	57737	131564
610	57833	131474
611	57934	131392
612	58028	131298
613	58127	131212
614	58230	131136
615	58325	131043
616	58425	130960
617	58523	130874
618	58622	130788
619	58724	130709
620	58821	130618
621	58917	130528
622	59014	130437
623	59107	130339
624	59202	130246
625	59301	130159
626	59397	130067
627	59492	129974
628	59606	129921
629	59703	129831
630	59803	129748
631	59895	129647
632	59989	129551
633	60088	129465
634	60182	129368
635	60276	129271
636	60369	129174
637	60464	129079
638	60562	128992
639	60659	128900
640	60759	128818
641	60851	128717
642	60948	128627
643	61044	128534
644	61133	128427
645	61233	128343
646	61332	128258
647	61430	128169
648	61528	128080
649	61620	127981
650	61714	127885
651	61820	127811
652	61916	127721
653	62012	127627
654	62111	127542
655	62207	127450
656	62306	127362
657	62405	127275
658	62501	127184
659	62593	127084
660	62693	126999
661	62787	126902
662	62886	126816
663	62986	126732
664	63085	126644
665	63179	126549
666	63280	126466
667	63376	126374
668	63473	126282
669	63569	126190
670	63662	126092
671	63758	125998
672	63851	125901
673	63953	125818
674	64064	125755
675	64159	125662
676	64261	125580
677	64356	125486
678	64455	125399
679	64554	125311
680	64653	125224
681	64744	125122
682	64835	125020
683	64925	124915
684	65021	124822
685	65119	124732
686	65220	124649
687	65313	124550
688	65412	124464
689	65512	124379
690	65620	124309
691	65722	124226
692	65827	124151
693	65928	124067
694	66023	123972
695	66121	123882
696	66218	123791
697	66316	123702
698	66411	123606
699	66507	123513
700	66609	123431
701	66704	123335
702	66804	123251
703	66902	123160
704	66994	123060
705	67094	122974
706	67192	122885
707	67291	122797
708	67386	122702
709	67486	122617
710	67607	122568
711	67703	122475
712	67800	122383
713	67890	122279
714	67986	122185
715	68077	122083
716	68172	121987
717	68269	121896
718	68367	121806
719	68460	121707
720	68557	121616
721	68647	121512
722	68739	121411
723	68833	121315
724	68930	121221
725	69028	121132
726	69125	121041
727	69226	120956
728	69328	120873
729	69421	120774
730	69514	120675
731	69608	120579
732	69702	120481
733	69799	120389
734	69890	120288
735	69992	120204
736	70084	120103
737	70182	120014
738	70285	119932
739	70396	119865
740	70514	119808
741	70642	119768
742	70743	119683
743	70844	119597
744	70957	119531
745	71052	119436
746	71155	119354
747	71254	119266
748	71355	119179
749	71451	119086
750	71551	118998
751	71653	118914
752	71749	118820
753	71922	118853
754	72024	118769
755	72126	118683
756	72227	118597
757	72327	118509
758	72427	118422
759	72543	118360
760	72794	118517
761	72927	118483
762	73037	118410
763	73147	118338
764	73252	118256
765	73355	118173
766	73461	118093
767	73571	118020
768	73670	117929
769	73774	117847
770	73879	117766
771	73983	117684
772	74091	117607
773	74192	117519
774	74314	117465
775	74415	117377
776	74520	117295
777	74622	117208
778	74724	117121
779	74829	117040
780	74928	116949
781	75034	116870
782	75142	116792
783	75247	116711
784	75349	116623
785	75453	116539
786	75557	116455
787	75661	116372
788	75763	116286
789	75868	116203
790	75975	116125
791	76081	116043
792	76185	115958
793	76289	115875
794	76404	115808
795	76513	115731
796	76620	115651
797	76722	115564
798	76825	115479
799	76925	115388
800	77025	115297
801	77130	115214
802	77232	115127
803	77337	115044
804	77451	114974
805	77556	114891
806	77656	114800
807	77759	114714
808	77856	114619
809	77961	114535
810	78155	114582
811	78387	114685
812	78649	114830
813	78852	114888
814	79076	114975
815	79246	114985
816	79361	114914
817	79479	114847
818	79595	114776
819	79704	114696
820	79810	114612
821	79921	114534
822	80023	114444
823	80122	114349
824	80224	114258
825	80321	114161
826	80417	114062
827	80519	113971
828	80619	113879
829	80709	113770
830	80815	113685
831	80915	113592
832	81011	113494
833	81112	113401
834	81212	113309
835	81313	113215
836	81410	113119
837	81507	113020
838	81602	112921
839	81698	112821
840	81801	112732
841	81913	112655
842	82020	112571
843	82134	112497
844	82251	112426
845	82370	112359
846	82491	112293
847	82614	112231
848	82755	112192
849	82918	112183
850	83078	112170
851	83210	112119
852	83358	112088
853	83488	112034
854	83628	111993
855	83768	111952
856	83904	111905
857	84041	111859
858	84189	111827
859	84364	111832
860	84608	111927
861	84843	112008
862	85177	112221
863	85305	112160
864	85448	112119
865	85599	112089
866	85765	112078
867	85911	112041
868	86048	111992
869	86172	111925
870	86294	111856
871	86416	111786
872	86534	111712
873	86654	111639
874	86763	111553
875	86870	111463
876	86974	111370
877	87079	111278
878	87181	111183
879	87287	111092
880	87397	111007
881	87512	110928
882	87638	110863
883	87751	110781
884	87861	110695
885	87959	110594
886	88062	110500
887	88163	110402
888	88260	110300
889	88363	110205
890	88469	110115
891	88584	110035
892	88688	109942
893	88795	109852
894	88890	109746
895	88994	109653
896	89097	109559
897	89201	109465
898	89298	109363
899	89396	109262
900	89504	109173
901	89611	109083
902	89711	108984
903	89814	108889
904	89925	108804
905	90025	108706
906	90148	108635
907	90264	108555
908	90385	108482
909	90502	108403
910	90612	108316
911	90722	108230
912	90835	108146
913	90932	108044
914	91043	107959
915	91220	107950
916	91374	107915
917	91492	107838
918	91605	107753
919	91722	107673
920	91825	107578
921	91934	107489
922	92047	107405
923	92161	107321
924	92275	107238
925	92405	107174
926	92523	107095
927	92641	107016
928	92743	106919
929	92851	106829
930	92983	106766
931	93132	106722
932	93259	106653
933	93367	106563
934	93487	106485
935	93592	106391
936	93691	106290
937	93787	106186
938	93891	106090
939	94002	106003
940	94111	105913
941	94218	105820
942	94319	105722
943	94430	105633
944	94542	105547
945	94646	105451
946	94748	105353
947	94855	105261
948	94957	105163
949	95061	105067
950	95166	104972
951	95275	104882
952	95375	104782
953	95478	104685
954	95582	104590
955	95697	104506
956	95808	104417
957	95918	104329
958	96045	104257
959	96146	104158
960	96254	104067
961	96361	103974
962	96463	103875
963	96563	103776
964	96657	103669
965	96755	103565
966	96854	103464
967	96953	103363
968	97059	103269
969	97173	103184
970	97286	103097
971	97389	103000
972	97483	102893
973	97581	102791
974	97685	102694
975	97778	102587
976	97875	102483
977	97969	102377
978	98065	102272
979	98155	102161
980	98252	102058
981	98343	101949
982	98441	101846
983	98539	101743
984	98643	101648
985	98781	101586
986	98926	101532
987	99035	101441
988	99142	101347
989	99249	101254
990	99357	101162
991	99457	101061
992	99553	100957
993	99657	100860
994	99757	100759
995	99854	100656
996	99959	100560
997	100059	100460
998	100159	100360
999	100264	100264
1000	100364	100163
1001	100464	100063
1002	100566	99964
1003	100668	99865
1004	100782	99779
1005	100890	99687
1006	100984	99581
1007	101084	99479
1008	101180	99375
1009	101284	99279
1010	101384	99178
1011	101484	99077
1012	101585	98978
1013	101685	98877
1014	101807	98798
1015	101906	98697
1016	102023	98612
1017	102115	98504
1018	102218	98406
1019	102313	98300
1020	102415	98202
1021	102514	98100
1022	102614	98000
1023	102711	97897
1024	102809	97794
1025	102906	97690
1026	103003	97588
1027	103099	97482
1028	103198	97381
1029	103296	97279
1030	103393	97175
1031	103485	97067
1032	103588	96969
1033	103687	96868
1034	103784	96764
1035	103883	96663
1036	103977	96557
1037	104071	96451
1038	104177	96357
1039	104281	96259
1040	104382	96160
1041	104484	96061
1042	104589	95965
1043	104690	95866
1044	104798	95772
1045	104898	95671
1046	105000	95573
1047	105096	95469
1048	105192	95365
1049	105292	95264
1050	105387	95159
1051	105488	95059
1052	105581	94953
1053	105675	94847
1054	105774	94746
1055	105868	94639
1056	105962	94534
1057	106059	94431
1058	106154	94326
1059	106248	94220
1060	106358	94128
1061	106474	94042
1062	106584	93950
1063	106694	93858
1064	106800	93763
1065	106906	93668
1066	107009	93570
1067	107113	93473
1068	107211	93371
1069	107319	93278
1070	107434	93190
1071	107536	93090
1072	107640	92994
1073	107739	92892
1074	107840	92792
1075	107965	92713
1076	108071	92618
1077	108172	92518
1078	108270	92416
1079	108361	92307
1080	108457	92204
1081	108565	92110
1082	108675	92018
1083	108786	91926
1084	108897	91835
1085	109021	91754
1086	109155	91682
1087	109269	91593
1088	109408	91525
1089	109537	91448
1090	109771	91459
